order_item_id,order_id,product_id,quantity,price,discount,total
1,1,149,1,289.58,0.0,289.58
2,2,43,3,224.2,100.89,571.71
3,2,100,1,173.18,8.66,164.52
4,3,401,2,317.07,0.0,634.14
5,3,473,1,360.01,0.0,360.01
6,4,9,2,247.9,0.0,495.8
7,5,291,1,23.28,0.0,23.28
8,6,726,1,273.29,0.0,273.29
9,6,981,1,98.6,0.0,98.6
10,7,677,4,135.62,54.25,488.23
11,8,800,1,335.37,0.0,335.37
12,9,72,1,308.72,0.0,308.72
13,10,224,1,215.23,0.0,215.23
14,10,629,1,149.74,0.0,149.74
15,10,659,2,40.72,0.0,81.44
16,11,717,1,258.37,0.0,258.37
17,12,865,2,152.74,0.0,305.48
18,13,958,1,165.83,0.0,165.83
19,13,368,5,49.03,0.0,245.15
20,14,181,1,261.81,0.0,261.81
21,14,568,1,502.88,0.0,502.88
22,15,144,1,54.12,0.0,54.12
23,15,37,1,450.49,0.0,450.49
24,16,58,1,63.73,0.0,63.73
25,17,892,2,328.61,0.0,657.22
26,17,896,2,394.29,0.0,788.58
27,17,550,3,211.44,0.0,634.32
28,17,153,1,335.97,0.0,335.97
29,18,66,1,137.98,0.0,137.98
30,18,838,1,198.28,0.0,198.28
31,18,109,2,383.01,0.0,766.02
32,19,857,4,197.04,0.0,788.16
33,20,173,1,283.1,28.31,254.79
34,20,714,1,59.5,2.98,56.52
35,20,379,1,176.11,0.0,176.11
36,21,608,1,134.96,0.0,134.96
37,21,909,1,217.99,0.0,217.99
38,22,39,1,392.61,58.89,333.72
39,22,611,1,438.94,0.0,438.94
40,23,780,5,465.05,0.0,2325.25
41,24,153,1,369.67,0.0,369.67
42,25,446,1,129.9,6.5,123.4
43,26,805,1,252.58,0.0,252.58
44,27,430,2,442.91,0.0,885.82
45,27,204,1,446.68,0.0,446.68
46,28,76,1,260.54,0.0,260.54
47,28,483,3,120.84,0.0,362.52
48,28,600,1,198.1,0.0,198.1
49,29,62,1,296.98,0.0,296.98
50,29,288,1,481.43,24.07,457.36
51,30,592,1,116.73,0.0,116.73
52,30,994,3,137.92,0.0,413.76
53,30,567,1,288.24,0.0,288.24
54,30,876,3,138.68,0.0,416.04
55,31,46,1,398.95,0.0,398.95
56,32,247,1,339.79,0.0,339.79
57,33,664,5,250.43,0.0,1252.15
58,34,466,1,358.5,0.0,358.5
59,35,2,1,368.22,0.0,368.22
60,35,882,1,440.77,0.0,440.77
61,36,807,1,94.13,9.41,84.72
62,36,702,1,264.48,0.0,264.48
63,36,83,1,468.29,0.0,468.29
64,37,722,1,61.25,0.0,61.25
65,37,69,1,223.81,0.0,223.81
66,38,780,1,453.89,0.0,453.89
67,38,231,1,17.97,0.0,17.97
68,38,329,1,163.88,0.0,163.88
69,39,377,2,328.78,32.88,624.68
70,40,920,1,278.56,0.0,278.56
71,41,210,1,99.77,0.0,99.77
72,42,756,1,456.38,0.0,456.38
73,43,352,1,468.48,0.0,468.48
74,44,581,1,186.75,0.0,186.75
75,45,292,1,23.14,2.31,20.83
76,46,120,1,333.14,0.0,333.14
77,47,353,1,267.12,0.0,267.12
78,47,152,1,19.76,0.0,19.76
79,48,757,1,474.22,0.0,474.22
80,49,747,1,466.66,0.0,466.66
81,49,929,3,59.99,0.0,179.97
82,49,945,1,440.87,22.04,418.83
83,50,598,1,199.68,0.0,199.68
84,50,540,1,346.73,0.0,346.73
85,51,618,1,481.1,48.11,432.99
86,52,13,1,440.32,66.05,374.27
87,53,426,1,73.66,0.0,73.66
88,53,823,3,139.19,0.0,417.57
89,54,487,5,430.23,0.0,2151.15
90,55,655,3,474.51,0.0,1423.53
91,56,391,1,325.17,16.26,308.91
92,57,758,1,351.82,0.0,351.82
93,58,682,3,197.49,0.0,592.47
94,59,284,1,345.57,0.0,345.57
95,60,265,1,256.88,0.0,256.88
96,61,266,1,229.42,0.0,229.42
97,62,430,1,445.33,0.0,445.33
98,63,785,1,105.55,0.0,105.55
99,63,644,1,365.66,18.28,347.38
100,64,594,1,253.64,0.0,253.64
101,65,933,1,32.72,0.0,32.72
102,66,976,2,198.61,0.0,397.22
103,66,539,2,117.4,23.48,211.32
104,67,320,1,79.64,0.0,79.64
105,68,30,2,428.3,42.83,813.77
106,68,763,1,112.54,0.0,112.54
107,69,794,1,11.12,0.0,11.12
108,70,481,3,35.08,0.0,105.24
109,70,122,1,313.53,0.0,313.53
110,71,150,2,442.32,88.46,796.18
111,72,584,1,448.42,0.0,448.42
112,73,551,1,137.98,0.0,137.98
113,73,5,2,210.84,0.0,421.68
114,73,997,1,506.01,0.0,506.01
115,73,743,1,100.96,0.0,100.96
116,74,113,1,455.16,0.0,455.16
117,75,395,1,63.97,0.0,63.97
118,76,876,1,147.35,7.37,139.98
119,77,504,1,416.45,0.0,416.45
120,77,689,1,238.42,35.76,202.66
121,77,108,2,10.38,0.0,20.76
122,77,406,1,344.08,0.0,344.08
123,77,449,2,389.43,0.0,778.86
124,78,775,2,390.39,0.0,780.78
125,78,809,1,519.67,103.93,415.74
126,79,502,1,395.6,0.0,395.6
127,80,996,1,124.87,0.0,124.87
128,80,184,1,462.94,0.0,462.94
129,81,510,1,165.82,0.0,165.82
130,82,122,1,322.67,0.0,322.67
131,82,393,1,115.83,5.79,110.04
132,82,461,1,266.89,0.0,266.89
133,83,113,1,454.92,0.0,454.92
134,84,401,1,323.93,0.0,323.93
135,84,270,1,418.68,0.0,418.68
136,85,913,1,308.42,0.0,308.42
137,86,254,1,286.07,28.61,257.46
138,86,241,1,223.83,0.0,223.83
139,87,432,1,425.8,0.0,425.8
140,87,274,1,15.46,0.0,15.46
141,88,515,2,165.45,0.0,330.9
142,89,549,1,278.2,0.0,278.2
143,89,220,2,450.95,135.28,766.62
144,89,295,2,448.76,0.0,897.52
145,90,356,2,196.28,0.0,392.56
146,91,425,1,79.21,0.0,79.21
147,92,591,1,392.17,39.22,352.95
148,92,512,1,77.02,3.85,73.17
149,92,219,3,407.67,122.3,1100.71
150,93,474,1,375.67,0.0,375.67
151,94,851,3,223.49,33.52,636.95
152,95,616,1,391.79,0.0,391.79
153,96,433,1,303.86,0.0,303.86
154,96,663,2,282.18,0.0,564.36
155,96,928,3,137.78,0.0,413.34
156,96,38,1,363.0,0.0,363.0
157,96,207,1,68.61,6.86,61.75
158,97,860,2,280.1,0.0,560.2
159,98,954,3,395.15,0.0,1185.45
160,98,538,2,52.84,0.0,105.68
161,98,258,1,17.87,0.0,17.87
162,98,509,1,23.86,0.0,23.86
163,99,58,1,65.15,0.0,65.15
164,99,503,1,508.93,76.34,432.59
165,99,547,3,411.79,0.0,1235.37
166,100,758,1,385.57,0.0,385.57
167,101,982,2,101.71,0.0,203.42
168,102,984,1,300.36,0.0,300.36
169,103,647,2,163.7,0.0,327.4
170,103,325,3,299.98,89.99,809.95
171,103,901,1,359.82,17.99,341.83
172,103,832,2,292.26,29.23,555.29
173,104,431,1,258.23,0.0,258.23
174,105,189,1,482.58,0.0,482.58
175,105,646,1,481.23,0.0,481.23
176,106,787,1,299.81,0.0,299.81
177,106,851,1,230.23,0.0,230.23
178,107,847,2,149.69,0.0,299.38
179,107,336,1,14.07,1.41,12.66
180,108,642,3,400.74,0.0,1202.22
181,108,235,2,171.74,0.0,343.48
182,109,581,1,185.47,0.0,185.47
183,110,731,1,9.97,0.5,9.47
184,111,442,3,72.48,43.49,173.95
185,112,1000,1,89.82,8.98,80.84
186,113,137,3,411.54,0.0,1234.62
187,114,263,1,137.81,0.0,137.81
188,114,75,1,216.19,43.24,172.95
189,115,517,1,148.49,0.0,148.49
190,116,267,1,322.14,16.11,306.03
191,116,174,1,79.09,0.0,79.09
192,117,131,1,113.46,0.0,113.46
193,118,780,1,456.01,22.8,433.21
194,118,949,1,291.1,0.0,291.1
195,119,153,1,341.93,0.0,341.93
196,120,917,3,89.34,0.0,268.02
197,121,867,2,267.35,0.0,534.7
198,122,768,1,262.25,0.0,262.25
199,122,521,1,504.47,0.0,504.47
200,122,843,1,259.5,0.0,259.5
201,123,697,1,268.63,26.86,241.77
202,124,725,1,302.71,45.41,257.3
203,125,333,3,53.2,0.0,159.6
204,125,971,3,410.41,0.0,1231.23
205,125,750,2,490.27,0.0,980.54
206,125,752,1,223.18,0.0,223.18
207,126,799,1,265.04,39.76,225.28
208,127,618,1,454.56,0.0,454.56
209,127,135,1,368.23,0.0,368.23
210,127,368,1,46.34,0.0,46.34
211,127,682,1,192.89,0.0,192.89
212,128,731,4,9.57,0.0,38.28
213,128,159,1,217.68,0.0,217.68
214,129,536,1,190.24,19.02,171.22
215,129,438,1,6.54,0.0,6.54
216,129,303,1,163.13,8.16,154.97
217,130,678,1,348.29,17.41,330.88
218,131,742,1,254.47,0.0,254.47
219,132,765,5,476.63,0.0,2383.15
220,133,672,1,487.57,24.38,463.19
221,134,998,1,393.27,0.0,393.27
222,134,632,1,373.57,0.0,373.57
223,135,665,1,173.99,8.7,165.29
224,136,152,1,18.33,0.0,18.33
225,136,486,2,423.72,0.0,847.44
226,136,433,3,318.01,0.0,954.03
227,137,868,2,201.24,20.12,382.36
228,138,410,1,75.99,0.0,75.99
229,139,433,1,301.56,15.08,286.48
230,139,591,1,378.86,0.0,378.86
231,140,295,2,443.91,0.0,887.82
232,141,733,1,182.76,0.0,182.76
233,141,673,4,401.07,0.0,1604.28
234,141,480,2,301.56,0.0,603.12
235,142,133,1,131.18,0.0,131.18
236,142,178,1,239.43,0.0,239.43
237,143,268,1,166.28,8.31,157.97
238,144,633,1,151.16,0.0,151.16
239,145,155,3,388.57,0.0,1165.71
240,146,801,1,73.94,0.0,73.94
241,146,626,1,223.89,0.0,223.89
242,146,625,1,31.56,0.0,31.56
243,146,879,2,437.03,43.7,830.36
244,146,971,1,392.97,19.65,373.32
245,147,829,1,410.18,0.0,410.18
246,148,252,2,245.94,0.0,491.88
247,148,156,1,359.88,35.99,323.89
248,149,454,2,147.77,0.0,295.54
249,149,150,1,419.43,0.0,419.43
250,149,789,1,23.11,0.0,23.11
251,149,11,3,297.21,0.0,891.63
252,150,430,1,417.61,0.0,417.61
253,150,412,3,238.18,0.0,714.54
254,150,908,1,98.32,0.0,98.32
255,150,698,1,14.74,0.0,14.74
256,150,718,2,371.17,0.0,742.34
257,151,551,1,145.24,0.0,145.24
258,152,320,1,83.74,0.0,83.74
259,152,534,3,322.54,0.0,967.62
260,153,62,2,280.0,0.0,560.0
261,154,6,1,150.58,0.0,150.58
262,154,465,1,85.5,8.55,76.95
263,155,804,2,50.92,0.0,101.84
264,156,198,2,435.25,0.0,870.5
265,156,843,1,259.39,0.0,259.39
266,157,694,1,374.74,0.0,374.74
267,158,706,4,111.64,0.0,446.56
268,158,954,1,414.35,0.0,414.35
269,158,971,2,412.87,0.0,825.74
270,158,502,1,389.55,0.0,389.55
271,158,750,4,472.35,283.41,1605.99
272,159,42,1,476.72,95.34,381.38
273,159,536,1,189.0,0.0,189.0
274,160,221,2,238.61,0.0,477.22
275,160,188,1,49.79,0.0,49.79
276,160,839,1,179.18,0.0,179.18
277,161,517,2,154.01,0.0,308.02
278,161,652,2,21.05,0.0,42.1
279,161,472,1,48.11,4.81,43.3
280,162,887,2,71.48,0.0,142.96
281,162,170,2,413.06,0.0,826.12
282,163,776,4,176.38,0.0,705.52
283,163,55,1,65.22,0.0,65.22
284,164,860,1,299.46,0.0,299.46
285,164,909,1,216.14,10.81,205.33
286,164,594,1,261.35,0.0,261.35
287,165,102,1,190.79,0.0,190.79
288,166,61,4,187.72,0.0,750.88
289,166,630,1,178.04,0.0,178.04
290,167,246,2,271.85,0.0,543.7
291,168,476,1,10.26,0.0,10.26
292,169,601,1,325.71,0.0,325.71
293,169,692,1,312.58,0.0,312.58
294,170,173,2,285.92,0.0,571.84
295,171,985,1,79.78,0.0,79.78
296,171,850,4,194.12,0.0,776.48
297,171,636,2,355.76,0.0,711.52
298,172,166,2,404.37,0.0,808.74
299,173,900,4,32.34,0.0,129.36
300,173,443,1,84.98,0.0,84.98
301,173,216,1,70.77,14.15,56.62
302,173,626,1,231.84,0.0,231.84
303,173,517,1,154.39,0.0,154.39
304,174,689,3,238.61,0.0,715.83
305,174,178,1,234.72,0.0,234.72
306,174,424,1,438.29,21.91,416.38
307,174,570,1,57.5,0.0,57.5
308,175,860,2,296.26,0.0,592.52
309,176,761,1,238.89,23.89,215.0
310,177,828,1,458.51,68.78,389.73
311,177,736,1,64.77,0.0,64.77
312,178,654,1,400.37,0.0,400.37
313,178,406,1,357.08,0.0,357.08
314,178,114,1,419.88,0.0,419.88
315,178,891,1,202.83,0.0,202.83
316,178,285,1,284.28,0.0,284.28
317,179,710,1,505.13,0.0,505.13
318,179,695,1,447.28,0.0,447.28
319,179,546,3,198.7,29.8,566.3
320,179,630,1,178.46,0.0,178.46
321,179,259,1,180.63,0.0,180.63
322,180,546,1,198.94,9.95,188.99
323,180,460,2,12.85,0.0,25.7
324,180,324,1,407.19,40.72,366.47
325,180,6,1,152.02,0.0,152.02
326,181,25,1,373.56,0.0,373.56
327,182,349,2,321.21,0.0,642.42
328,183,98,1,464.57,0.0,464.57
329,184,711,1,414.22,0.0,414.22
330,184,67,1,63.48,0.0,63.48
331,184,802,1,250.52,0.0,250.52
