product_id,name,description,price,cost,category_id,sku,inventory_count,weight,created_at,is_active
1,After Beauty - Artist Unit,Describe paper likely loss. Store over some star consider.,356.13,240.3,23,SKU-UR842,0,10.45,2021-11-29 07:03:44,True
2,Long Beauty - Race Pick,Discover history board dark. Range step painting concern top outside there. Me brother lot candidate owner still to. Miss have analysis morning director sort.,372.51,290.39,482,SKU-ZV659,343,4.02,2024-09-26 10:33:24,True
3,Third Health - Big Same,International effort she travel. Exist theory impact country. Official brother according.,169.11,128.53,472,SKU-xg356,160,13.3,2020-12-21 03:57:04,True
4,Reach Baby - Cup Pay,Talk interest hand every quite. Including six lot have never.,158.78,98.72,260,SKU-wX449,209,6.59,2023-09-22 21:10:25,True
5,Simply Jewelry - Occur Certainly,Land record class Democrat hundred. Song pass range appear home player.,213.69,100.35,99,SKU-MB127,481,7.64,2020-08-21 11:17:32,True
6,Everyone Home & Kitchen - List Doctor,Participant right us husband. Expert white arm similar compare manager action. Experience almost outside middle discuss college already.,154.66,74.87,292,SKU-fr302,280,16.69,2024-02-05 08:19:06,True
7,Head Industrial - Tough Relationship,Only military say attention bed expect. Trip give white everybody paper create upon. Above company media next me future bring.,292.5,196.05,403,SKU-YK848,335,6.51,2021-06-13 07:35:35,True
8,Level Baby - Range Huge,Show serious which learn leave only agree. Election him small detail. Son include good movie red.,239.74,159.08,262,SKU-fz434,461,19.2,2023-07-26 19:33:46,True
9,Tend Beauty - Group Guess,Use live government thus especially water raise. Material current save their deal.,260.62,203.49,146,SKU-wj339,324,12.42,2024-02-04 00:07:49,False
10,Call Pet Supplies - Believe Wife,Pass share must amount lot per manage. Than make worker trouble exactly develop office.,338.35,141.59,121,SKU-EI086,115,16.15,2020-05-11 23:22:24,True
11,Hand Music - Just Indeed,With recently least ready activity decision ok. Gun technology cost enjoy especially when.,307.96,200.76,244,SKU-FB552,393,1.55,2021-04-01 23:34:39,True
12,School Handmade - Within Soldier,Take evidence conference capital office direction. Result sound new task. Certainly where change south computer.,360.85,239.04,100,SKU-IU728,196,9.94,2021-10-11 02:08:16,True
13,Message Home & Kitchen First,Teach answer between clear democratic effect stuff. Last free guess night.,446.96,254.79,3,SKU-Ah450,440,15.42,2021-12-14 16:03:59,True
14,Respond Office Products - Recently Police,Office power company sister great pull maintain. Threat high expert place certain cold space.,403.22,201.48,91,SKU-Kz569,356,10.41,2024-06-10 18:29:37,False
15,Away Office Products - Get Base,Direction first fact environment popular even. Sit voice security minute late cold.,65.94,52.43,435,SKU-Qq023,68,16.05,2024-11-24 22:25:53,True
16,School Health - Important So,Cold billion as these nature. Side model you.,162.74,111.92,305,SKU-jf149,386,17.84,2023-06-22 08:43:19,True
17,Value Beauty - Cut In,Easy exist phone capital stuff. Along ground trip.,216.8,151.21,259,SKU-rJ778,464,11.0,2022-06-03 21:12:40,True
18,Save Music - Just Notice,Our piece player nor model police finally girl. Dinner become film include choose action model.,228.32,161.27,244,SKU-EI254,384,5.02,2020-03-28 16:43:14,True
19,Win Handmade - Certain Million,Across involve fall discuss account. Country think join economic resource position. Determine bad personal might son party.,245.38,126.2,267,SKU-Zr448,122,5.56,2022-04-06 13:16:23,False
20,Tonight Automotive - Real Authority,Face PM pay evening. Man fly charge wide against win example by.,171.9,84.66,140,SKU-fj703,457,10.85,2020-04-09 09:33:50,True
21,Director Handmade - Energy Guess,Size marriage he recent all. Such weight argue simply. Myself consider time economic.,81.48,50.28,356,SKU-XT601,109,1.38,2021-06-11 03:54:47,True
22,Spend Baby - Feeling Level,Current same behind. List race fine follow pick.,36.75,23.29,213,SKU-hq088,426,8.46,2022-08-09 07:54:26,True
23,Fire Grocery - Only Decide,Tell design both. Foot cold everybody build smile across. Ok real read.,15.64,6.29,357,SKU-pk251,450,15.34,2022-09-12 11:03:02,True
24,Rich Jewelry - Keep Present,Art green child movie blue maintain first next. South just cover ready group care. Magazine join far.,153.5,87.13,181,SKU-lI739,199,17.08,2021-12-08 09:55:02,True
25,Sign Music - Class Management,Trial never attention choice fast enjoy happen a. Here control affect task simply draw return.,368.9,179.94,383,SKU-HR863,409,12.1,2022-09-08 03:10:27,True
26,Ok Beauty - Health Class,Follow political book model at. Condition all blood court. Number student price. Perhaps opportunity any determine responsibility actually TV.,245.9,138.13,224,SKU-ZO717,199,6.79,2020-07-02 08:36:29,True
